Title,Developer,Publisher,First released,JP,EU,NA
Barnyard,Blue Tongue,THQ,2006-08-01NA,,✔,✔
"Baroque
•Baroque InternationalJP",Sting Entertainment,"Sting EntertainmentJP, AtlusNA, Rising Star GamesEU",2008-04-08NA,✔,✔,✔
The Baseball 2002: Battle Ball Park Sengen,Konami,Konami,2002-03-28JP,✔,,
The Baseball 2003,Konami,Konami,2003-03-20JP,✔,,
The Baseball 2003: Akikigou,Konami,Konami,2003-09-04JP,✔,,
Baseball Live 2005,Namco,Namco,2005-04-21JP,✔,,
"Baseball Mania
•Simple 2000 Series Vol. 57: The Pro Yakyuu 2004JP",Tamsoft,"D3 PublisherJP, 505 Game StreetEU",2004-08-05JP,✔,✔,
Basic Studio: Powerful Game Koubou,Artdink,Artdink,2001-04-19JP,✔,,
Baskelian,Jorudan,Jorudan,2003-08-07JP,✔,,
"Basketball Xciting
•Simple 2000 Series Vol. 30: The Street Baske – 3 on 3JP",Tamsoft,"D3 PublisherJP, AgetecEU",2003-05-29JP,✔,✔,
Bass Landing 3,Sammy Studios,Sammy Studios,2003-02-27JP,✔,,
Bass Strike,THQ,"THQEU, NA, CapcomJP",2001-09-26NA,✔,✔,✔
Batman Begins,Eurocom,Electronic Arts,2005-06-14NA,,✔,✔
